trackId,Artist,title,streams
7K7MUBCnzgBAvMVW2RTWNs,Loud Luxury,Body (feat. brando) ,7719123
7dNwJbsT0sg1le5kVugGJb,Becky G,Bubalu ,7691925
4VUwkH455At9kENOfzTqmF,Bazzi,Beautiful (feat. Camila Cabello) ,7568703
5Fla3zyOCcIRqrDoKLU0DP,Rita Ora,Let You Love Me ,7475195
2BgEsaKNfHUdlh97KmvFyo,Anne-Marie,2002 ,7447419
2G7V7zsVDxg1yRsu7Ew9RJ,Drake,In My Feelings ,7445971
2D3z17LBMJ2HEHeBFFjTLi,J Balvin,Reggaeton ,7429241
7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,Shape of You ,7372309
0TlLq3lA83rQOYtrqBqSct,Drake,Nonstop ,7294497
6mQLN3zRtAp6ovjusyYKrV,James Arthur,Rewrite The Stars (with James Arthur & Anne-Marie) ,7277513
4OafepJy2teCjYJbvFE60J,Ariana Grande,breathin ,7232610
0YammaEkYSeo9vQYZ1OwS6,David Guetta,Say My Name ,7057221
2FUNBaa5DwItJtYEBgAblU,21 Savage,monster ,7052322
7e4KQkp5ZR1gXCAalRjX6B,Kehlani,Nights Like This (feat. Ty Dolla $ign) ,7037371
7uiBocndm12aKbsdnQ3Scx,Chris Brown,Undecided ,7013119
059bcIhyc2SBwm6sw2AZzd,Piso 21,Te Vi ,7003480
0pqnGHJpmpxLKifKRmU6WP,Imagine Dragons,Believer ,6988224
3swc6WTsr7rl9DqQKQA55C,Post Malone,Psycho (feat. Ty Dolla $ign) ,6940641
5rFj8OzffT0iggSjcBaeND,Sam Smith,"Fire On Fire - From ""Watership Down"" ",6936477
6Gy7rXB6Ku5vIWC7WGWsl3,6ix9ine,KIKA ,6905067
7ef4DlsgrMEH11cDZd32M6,Calvin Harris,One Kiss (with Dua Lipa) ,6896828
13hvHEstJ4sNbzdroPrPI3,Dua Lipa,Kiss and Make Up ,6890632
4NdXQlDTzxbOMkzJGWFtz3,Lil Pump,Butterfly Doors ,6812034
0LQ1J0BCzA2qnAgp9MkkNE,6ix9ine,MALA ,6776924
2XXMDz7SPZ4mSFN1PXfHUy,Becky G,Cuando Te Besé ,6752747
5vdp5UmvTsnMEMESIF2Ym7,Queen,Another One Bites The Dust - Remastered 2011 ,6720050
0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,Perfect ,6675074
40T5GIqQ1CegGm2PTEl8Bu,Billie Eilish,idontwannabeyouanymore ,6650744
5T8EDUDqKcs6OSOwEsfqG7,Queen,Don't Stop Me Now - 2011 Mix ,6633234
5wujBwqG7INdStqGd4tRMX,Juice WRLD,Armed And Dangerous ,6553970
04MLEeAMuV9IlHEsD8vF6A,French Montana,No Stylist ,6528134
3NuK5xMlSlB6K2Qp16zf3h,Clean Bandit,Solo (feat. Demi Lovato) ,6501722
4KkUjFkcQvGvWekl8RATDn,6ix9ine,BEBE ,6447772
2P91MQbaiQOfbiz9VqhqKQ,Lauv,I Like Me Better ,6445987
7lAK3oHbfEnvUQWosrMMpR,Travis Scott,YOSEMITE ,6366943
2qxmye6gAegTMjLKEBoR3d,Alec Benjamin,Let Me Down Slowly ,6360657
76cy1WJvNGJTj78UqeA5zr,Dua Lipa,IDGAF ,6356736
5OCJzvD7sykQEKHH7qAC3C,Ariana Grande,God is a woman ,6344806
2JvzF1RMd7lE3KmFlsyZD8,J. Cole,MIDDLE CHILD ,6236225
7AFASza1mXqntmGtbxXprO,XXXTENTACION,changes ,6198172
1zB4vmk8tFRmM9UULNzbLB,Imagine Dragons,Thunder ,6086453
4jvjzW7Hm0yK4LvvE0Paz9,Lil Peep,Falling Down - Bonus Track ,6082291
7uQmJ1jgNzBpATSoWKSPFu,Sebastian Yatra,Ya No Tiene Novio ,6078610
1KVczjazCcCCgM3gXXUl47,benny blanco,Roses (with Juice WRLD feat. Brendon Urie) ,6075278
1mT47pKLXUwPYGwB91GcNz,KAROL G,Créeme ,6027558
1mXVgsBdtIVeCLJnSnmtdV,Sam Smith,Too Good At Goodbyes ,6008781
79OEIr4J4FHV0O3KrhaXRb,Rich The Kid,Splashin ,6003048
22An65gG31JLf9n18qjdhZ,XXXTENTACION,BAD! ,5987440
4NBTZtAt1F13VvlSKe6KTl,The Chainsmokers,This Feeling ,5980932
1rfofaqEpACxVEHIZBJe6W,Camila Cabello,Havana (feat. Young Thug) ,5980867
4OBZT9EnhYIV17t4pGw7ig,H.E.R.,Best Part (feat. Daniel Caesar) ,5975363
4ofwffwvvnbSkrMSCKQDaC,George Ezra,Shotgun ,5950603
4QIyEq7TcTdAcxjI2AFlAK,6ix9ine,FEFE ,5920981
3V8UKqhEK5zBkBb6d6ub8i,Nio Garcia,Te Boté - Remix ,5895098
1fewSx2d5KIZ04wsooEBOz,Metro Boomin,Space Cadet (feat. Gunna) ,5885691
75ZvA4QfFiZvzhj2xkaWAh,Post Malone,I Fall Apart ,5863791
14sOS5L36385FJ3OL8hew4,Kygo,Happy Now ,5853211
09IStsImFySgyp0pIQdqAc,Zedd,The Middle ,5803287
4S8d14HvHb70ImctNgVzQQ,Kanye West,I Love It (& Lil Pump) ,5779066
5uCax9HTNlzGybIStD3vDh,James Arthur,Say You Won't Let Go ,5773405
1wJRveJZLSb1rjhnUHQiv6,A Boogie Wit da Hoodie,Swervin (feat. 6ix9ine) ,5759252
64ydkbrt0xhdJXRaam06Mc,James Blake,Mile High ,5687330
2xJCMIJfcNYDc5iR0sAm2O,Dua Lipa,New Rules ,5677513
3KLygy1YWhmrQx0GRs7IOx,Jonas Blue,Rise ,5645925
6GzApXoBQiiAjak3tOQfV3,5 Seconds of Summer,Lie To Me (feat. Julia Michaels) ,5638330
2fuCquhmrzHpu5xcA1ci9x,Queen,Under Pressure - Remastered ,5630826
7AQim7LbvFVZJE3O8TYgf2,XXXTENTACION,Fuck Love (feat. Trippie Redd) ,5624912
2TIlqbIneP0ZY1O0EzYLlc,Lewis Capaldi,Someone You Loved ,5621433
6q8Lb50EtqNeeJXXe8mMAH,KAROL G,Culpables ,5549843
4hQ6UGyWQIGJmHSo0J88JW,Selena Gomez,Back To You - From 13 Reasons Why – Season 2 Soundtrack ,5504907
5N4erncE7kuUccm7zEmwzk,Silk City,Electricity (with Dua Lipa) ,5485879
5274I4mUMnYczyeXkGDWZN,Future,Fine China ,5477851
6JQvHMSaR8flFsN53ypOfP,Lil Mosey,Noticed ,5475910
08bNPGLD8AhKpnnERrAc6G,Marshmello,FRIENDS ,5469978
2rbDhOo9Fh61Bbu23T2qCk,Lady Gaga,Always Remember Us This Way ,5449652
4e4fqjx0Izh4svvTef1z7e,Bebe Rexha,Meant to Be (feat. Florida Georgia Line) ,5416639
59PYgzOiOjGDzjDT5N5oOX,Brytiago,Asesina - Remix ,5366409
0lsRatBUs9HNIZAmoGABzk,SHAED,Trampoline ,5359369
2wVDWtLKXunswWecARNILj,JENNIE,SOLO ,5337489
2zDj4WjbNDmrRL6Z4YjjCA,Reik,Amigos Con Derechos ,5322672
04ZTP5KsCypmtCmQg5tH9R,Bebe Rexha,I'm a Mess ,5308978
4qKcDkK6siZ7Jp1Jb4m0aL,BlocBoy JB,Look Alive (feat. Drake) ,5281918
222B3aljXx6fFwKmFjuBED,Little Mix,Woman Like Me (feat. Nicki Minaj) ,5274936
3a1lNhkSLSkpJE4MSHpDu9,Post Malone,Congratulations ,5183853
2QZ7WLBE8h2y1Y5Fb8RYbH,Shawn Mendes,In My Blood ,5149665
6cFZ4PLC19taNlpl9pbGMf,Queen,Somebody To Love - 2011 Mix ,5141601
7GX5flRQZVHRAGd6B4TmDO,Lil Uzi Vert,XO Tour Llif3 ,5087518
74lnM5V6ecvoTPV0fvptx9,Ski Mask The Slump God,Nuketown (feat. Juice WRLD) ,5055315
2c7GlMNmF7pbohjykutmLP,Sia,Thunderclouds ,5021106
63cd4JkwGgYJrbOizbfmsp,Mustard,Pure Water (with Migos) ,4971065
45Egmo7icyopuzJN0oMEdk,Khalid,Love Lies (with Normani) ,4940975
675w3ACw5xZR3ODhUJlEVN,Manuel Turizo,Sola ,4932374
7BKLCZ1jbUBVqRi2FVlTVw,The Chainsmokers,Closer (feat. Halsey) ,4895732
51NFxnQvaosfDDutk0tams,Billie Eilish,bellyache ,4893874
4Uy3kNxW2kB8AEoXljEcth,Nicki Minaj,"Familia (with Anuel Aa, feat. Bantu) - Spider-Man: Into the Spider-Verse ",4880234
1Slwb6dOYkBlWal1PGtnNg,Ed Sheeran,Thinking out Loud ,4837387
7ycWLEP1GsNjVvcjawXz3z,A$AP Rocky,Praise The Lord (Da Shine) (feat. Skepta) ,4834017
4kWO6O1BUXcZmaxitpVUwp,Tiësto,Jackie Chan ,4819228
1I3ZAmPmbFV78oNKnibOiW,Future,Jumpin on a Jet ,4813197
7FjZU7XFs7P9jHI9Z0yRhK,NOTD,So Close ,4811741
1DcxnVNFAyVl2sDQ646pXS,Kevin Roldan,PPP ,4786078
5CLGzJsGqhCEECcpnFQA8x,Rudimental,These Days ,4758934
2MShy1GSSgbmGUxADNIao5,Kodak Black,Calling My Spirit ,4727806
3GVkPk8mqxz0itaAriG1L7,XXXTENTACION,Everybody Dies In Their Nightmares ,4707913
2uIX8YMNjGMD7441kqyyNU,Billie Eilish,ocean eyes ,4693749
7sO5G9EABYOXQKNPNiE9NR,Offset,Ric Flair Drip (& Metro Boomin) ,4689153
60SdxE8apGAxMiRrpbmLY0,Eminem,Lucky You (feat. Joyner Lucas) ,4680885
2374M0fQpWi3dLnB54qaLX,TOTO,Africa ,4659170
6fxVffaTuwjgEk5h9QyRjy,Ed Sheeran,Photograph ,4658924
6gBFPUFcJLzWGx4lenP6h2,Travis Scott,goosebumps ,4585369
5EKHbW7mXcAR4hCyS3YXjb,Felipe Araújo,Atrasadinha - Ao Vivo ,4573764
3CA9pLiwRIGtUBiMjbZmRw,Drake,Nice For What ,4573117
5qqabIl2vWzo9ApSC317sa,Oasis,Wonderwall - Remastered ,4551052
4pbJqGIASGPr0ZpGpnWkDn,Queen,We Will Rock You - Remastered ,4550604
5ixqGGFu0hdHfErdp32QwT,Gabriel Diniz,Jenifer ,4548197
7KXjTSCq5nL1LoYtL7XAwS,Kendrick Lamar,HUMBLE. ,4536715
2RttW7RAu5nOAfq6YFvApB,Ed Sheeran,Happier ,4514060
2ijef6ni2amuunRoKTlgww,Becky G,Sin Pijama ,4495173
5Gu0PDLN4YJeW75PpBSg9p,Hailee Steinfeld,"Let Me Go (with Alesso, Florida Georgia Line & watt) ",4440836
63THFs9ovzO3WQsz4lzh0H,Shindy,DODI ,4407694
3S0OXQeoh0w6AY8WQVckRW,Jason Mraz,I'm Yours ,4392899
3GCdLUSnKSMJhs4Tj6CV3s,Kendrick Lamar,All The Stars (with SZA) ,4370643
7uzmGiiJyRfuViKKK3lVmR,Bazzi,Mine ,4366487
1h9P5WJwyvK8OB7O2YiXgp,Ozuna,Ibiza ,4361461
7iTTQvztpfrDneVSX9IGBD,Luche,Stamm Fort (feat. Sfera Ebbasta) ,4343251
6eYxmK9fdL4hwLnXG2zY3s,XXXTENTACION,Look At Me! ,4342309
0WdGQhoAP2LBsqr5Jhit2g,Maroon 5,What Lovers Do ,4324061
0tBbt8CrmxbjRP0pueQkyU,Selena Gomez,Wolves ,4321130
