trackId,Artist,title,streams
2cytBOLpwFRX7J9URCrFIe,NSG,Options ,88577
7d8GetOsjbxYnlo6Y9e5Kw,The Killers,Mr. Brightside ,86978
5g0HSob4PEq7M8blV6y70i,Sam Fender,Will We Talk? ,86760
2VxeLyX666F8uXCJ0dZF8B,Lady Gaga,Shallow ,85763
6RRNNciQGZEXnqk8SQ9yv5,Taylor Swift,You Need To Calm Down ,85497
2BNgc0c0zXaHpao46xzqit,JAY1,4AM in Coventry ,82010
01IQ4aQgOf0Kkq3a273hmO,Dave,Funky Friday ,81811
0SErNy2An0gCpYFRUNWwNT,Hardy Caprio,Guten Tag ,81686
5WHTFyqSii0lmT9R21abT8,Mabel,Don't Call Me Up ,81417
4hui0bX1Bv89yg1BTsz4NU,Sam Fender,The Borders ,79961
1hxE8xAp7CrBsdpiRpiWFy,Stormzy,Crown ,79885
3TLwAp3uX1nKsVxrDhNPOL,Lil Tecca,Love Me ,79704
2hN5zu0d36ccHGHINeo1Mg,JAY1,Mocking It ,79100
7FGq80cy8juXBCD2nrqdWU,benny blanco,Eastside (with Halsey & Khalid) ,77977
6V9fHiv84WlVTg7CSnIVY2,Halsey,Graveyard ,77758
6u8epWzzk3CsJ05sqExF6T,Becky Hill,I Could Get Used To This ,77638
5S2TCmPS3UUrG3ZK7NBa7b,Mahalia,Simmer (feat. Burna Boy) ,77505
3M9Apu4OZfylLTFKvgEtKa,Tiësto,Ritual ,77356
1YscJ7yVTlFxW3eF6pv5ba,Post Malone,Allergic ,77264
5KE9b4x7Zj2A8XtbkqhqTe,Post Malone,Staring At The Sun (feat. SZA) ,76338
7CN6ZYIX338ekn7pb2CpQp,Solardo,XTC ,76239
0pEkK8MqbmGSX7fT8WLMbR,Lewis Capaldi,Grace ,75924
3zgKEF4I4ILmTTSBvtiRlJ,Wiley,"My One (feat. Tory Lanez, Kranium & Dappy) ",75337
4ofwffwvvnbSkrMSCKQDaC,George Ezra,Shotgun ,74480
6ocbgoVGwYJhOv1GgI9NsF,Ariana Grande,7 rings ,74308
3XYpgsAJ7sMMfViljhe3Rj,Fredo,Freddy ,73992
4hGsbyf3p0U5mlJTJwiUTq,AJ Tracey,Butterflies (feat. Not3s) ,73981
25sgk305KZfyuqVBQIahim,Ava Max,Sweet but Psycho ,73721
6PYnUsNEpYC7A4BS2sjw3L,Khalid,Right Back (feat. A Boogie Wit Da Hoodie) ,73608
1ckLp8lCl8LipXI0ypX72m,Post Malone,I'm Gonna Be ,71310
5PYQUBXc7NYeI1obMKSJK0,Katy Perry,Never Really Over ,70989
2x0RZdkZcD8QRI53XT4GI5,Avicii,SOS (feat. Aloe Blacc) ,70220
7aiClxsDWFRQ0Kzk5KI5ku,blackbear,hot girl bummer ,69797
6TqXcAFInzjp0bODyvrWEq,Khalid,Talk (feat. Disclosure) ,68706
22vgEDb5hykfaTwLuskFGD,Jonas Brothers,Sucker ,68298
2bT1PH7Cw3J9p3t7nlXCdh,Shawn Mendes,If I Can't Have You ,68085
6wo37KVqFJhtuxPTpLCcfe,The Chainsmokers,Takeaway (feat. Lennon Stella) ,67352
0TJxxb5DmfwwAJndnAuzEn,Krept & Konan,I Spy (feat. Headie One & K-Trap) ,67090
6kls8cSlUyHW2BUOkDJIZE,Ellie Goulding,Hate Me (with Juice WRLD) ,66928
5naYe7rLMZcLfO1DKg48MK,Jax Jones,All Day And Night ,66724
6moU77g9RQyMzHNuKEaQKq,Ali Gatie,It's You ,66626
4NSW0Km5ZG60L8FthUebPJ,Jonas Blue,What I Like About You (feat. Theresa Rex) ,65993
0oemKOq0n4u5EC6JRs2Vrx,AJ Tracey,Elastic ,65411
2xLMifQCjDGFmkHkpNLD9h,Travis Scott,SICKO MODE ,65162
2dpaYNEQHiRxtZbfNsse99,Marshmello,Happier ,64985
3e9HZxeyfWwjeyPAMmWSSQ,Ariana Grande,"thank u, next ",64966
1RJHieKAxYz9qbREvOR5eA,D-Block Europe,Kitchen Kings ,64222
3RauEVgRgj1IuWdJ9fDs70,Taylor Swift,The Man ,64164
0e7ipj03S05BNilyu5bRzt,Post Malone,rockstar (feat. 21 Savage) ,63726
5N1o6d8zGcSZSeMFkOUQOk,Megan Thee Stallion,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign) ,63634
0u2P5u6lvoDfwTYjAADbn4,Billie Eilish,lovely (with Khalid) ,63404
1fp2uoWXPca3mIdxRHIgQm,Cadet,Advice ,63033
26wLOs3ZuHJa2Ihhx6QIE6,5 Seconds of Summer,Teeth ,62641
1DhRbox3xkceP64k3JeYfW,Ed Sheeran,Antisocial (with Travis Scott) ,62583
3rqmxZNh2BRgJ3BiCPFTSG,Dave,Disaster (feat. J Hus) ,62139
6zeeWid2sgw4lap2jV61PZ,Khalid,Better ,62053
2BgEsaKNfHUdlh97KmvFyo,Anne-Marie,2002 ,61535
0AtP8EkGPn6SwxKDaUuXec,Ed Sheeran,Remember The Name (feat. Eminem & 50 Cent) ,61305
7dt6x5M1jzdTEt8oCbisTK,Post Malone,Better Now ,61114
7K7MUBCnzgBAvMVW2RTWNs,Loud Luxury,Body (feat. brando) ,60872
43zdsphuZLzwA9k4DJhU0I,Billie Eilish,when the party's over ,60442
6bAirj2qDf0agxdMuIdq1p,NSG,OT Bop ,60347
2Rk4JlNc2TPmZe2af99d45,Taylor Swift,ME! (feat. Brendon Urie of Panic! At The Disco) ,60324
7yq4Qj7cqayVTp3FF9CWbm,Vance Joy,Riptide ,60261
1rqqCSm0Qe4I9rUvWncaom,Panic! At The Disco,High Hopes ,60169
2cvOfKHOHgwQlLiuLKP2xR,Post Malone,Myself ,60167
5gDQm47YjTJkdkTnfNFRMC,JAY1,Your Mrs ,60148
5qqabIl2vWzo9ApSC317sa,Oasis,Wonderwall - Remastered ,59740
0DZJACISivjWjscIp5Kg1q,Lil Tecca,Ransom (with Juice WRLD) - Remix ,59620
6R1y3I91AIktu7qoKIugtH,Sam Fender,Play God ,59208
4kV4N9D1iKVxx1KLvtTpjS,Ariana Grande,"break up with your girlfriend, i'm bored ",59014
03x2rVJRFUrvwlfxoHd9Mo,Tom Walker,Just You and I ,58766
