trackId,Artist,title,streams,lyrics,neg,neu,pos,compound
3hBXvHLlTHvnbwrPbeoyAj,Bobby Helms,Jingle Bell Rock ,3115866,  verse 1 jingle bell jingle bell jingle bell rock jingle bells swing and jingle bells ring snowin and blowin up bushels of fun now the jingle hop has begun  verse 2 jingle bell jingle bell jingle bell rock jingle bells chime in jingle bell time dancin and prancin in jingle bell square in the frosty air  bridge what a bright time its the right time to rock the night away jingle bell time is a swell time to go glidin in a onehorse sleigh  giddyup jingle horse pick up your feet jingle around the clock mix and amingle in the jinglin feet thats the jingle bell rock  verse 2 jingle bell jingle bell jingle bell rock jingle bells chime in jingle bell time dancin and prancin in jingle bell square in the frosty air  bridge what a bright time its the right time to rock the night away jingle bell time is a swell time to go glidin in a onehorse sleigh  outro giddyup jingle horse pick up your feet jingle around the clock mix and amingle in the jinglin feet thats the jingle bell thats the jingle bell thats the jingle bell rock  ,0.0,0.953,0.047,0.8442
4QPEwDdOMhY7rNS05mTyMR,Stormzy,Own It (feat. Ed Sheeran & Burna Boy) ,3040788,  chorus stormzy own it girl you just own it cause your bodys on fire show me how to control it and go hit your spliff and get higher girl i love how you roll it i put my hand there hold it ima be right by ya ima be right by ya ima be right by ya ima be right by ya  verse 1 stormzy  burna boy lighters up lighters up one time lighters up pulled up in the party when you saw me i was lightin up my j so go ahead and brighten up my day lighters in the air when you lighting up the rave and its feelin like i met you here before fore girl i felt your presence when they let you through the door door never had a bruddah give you everything and more so i take a little piece and then the rest of it is yours mi amore i e don tey wey i don dey i tell you but girl you think say nah play ayy ayy ayy i know no wetin you dey do me wey just dey scatter my brain ah scatter my brain thug lovin when i put you in your place i can tell you love it just by lookin in your face its the way that you wind up your waist im so in awe girl you never have to worry bout nothing you know its all yours you know you  chorus stormzy  burna boy own it girl you just own it cause your bodys on fire show me how to control it and go hit your spliff and get higher girl i love how you roll it i put my hand there hold it ima be right by ya ima be right by ya ima be right by ya ima be right by ya everybody body body body body oluwaburna ti de  verse 2 ed sheeran lights down for the one i love right now right now we never looked better forget our friends girl i love it when we chill together and aint nobody gonna feel what we feel together she want a kiss i i want another one you got a sick vibe i wanted more than one up to now nobody knew where i was comin from we got the same mind so i dont wanna waste time bring it to me come by thats what i need thats right kissin your cheek one time i used to love bein alone alone but now i cant stand it im reachin out my palm palm for you to put your hand in ahahh girl you are the one and i dont understand it ooh yeah how you lighten up the room with your glow yeah yeah cause girl you just  chorus burna boy  ed sheeran own it own it girl you just own it own it cause your bodys on fire fire show me how to control it and go hit your spliff and get higher higher girl i love how you roll it i love how you roll it i put my hand there i put my hand there hold it ima be right by ya ima be right by ya ima be right by ya ima be right by ya  outro burna boy nananana nananana  ,0.026,0.864,0.11,0.9927
6sBWmE23q6xQHlnEZ8jYPT,Elton John,Step Into Christmas ,3028595,  verse 1 welcome to my christmas song id like to thank you for the year so im sendin you this christmas card to say its nice to have you here  prechorus id like to sing about all the things your eyes and mind can see so hop aboard the turntable oh step into christmas with me yeah  chorus step into christmas lets join together we can watch the snow fall forever and ever eat drink and be merry come along with me step into christmas the admissions free  verse 2 take care in all you do next year and keep smilin through the days if we can help to entertain you oh we will find the ways  prechorus so merry christmas one and all theres no place id rather be than askin you if youd oblige steppin into christmas with me  chorus step into christmas lets join together we can watch the snow fall forever and ever eat drink and be merry come along with me step into christmas the admissions free oh  verse 1 welcome to my christmas song id like to thank you for the year so im sendin you this christmas card to say its nice to have you here  prechorus id like to sing about all the things your eyes and mind can see so hop aboard the turntable oh step into christmas with me yeah  chorus step into christmas lets join together we can watch the snow fall forever and ever eat drink and be merry come along with me step into christmas the admissions free  chorus step into christmas lets join together we can watch the snow fall forever and ever eat drink and be merry come along with me step into christmas the admissions free  chorus step into christmas lets join together we can watch the snow fall forever and ever eat drink and be merry come along with me step into christmas the admissions free oh  outro step step into christmas ah forever and ever yeah come along with me ah oh step step into christmas ah forever and ever yeah come along with me ah  ,0.005,0.775,0.219,0.9976
27qAMKrDdKEs8HDXcvR24R,Chris Rea,Driving Home for Christmas - 2019 Remaster ,3019691,  im driving home for christmas oh i cant wait to see those faces im driving home for christmas yeah well im moving down that line  and its been so long but i will be there i sing this song to pass the time away  driving in my car driving home for christmas  its gonna take some time but ill get there top to toe in tailbacks oh i got red lights all around but soon therell be a freeway yeah get my feet on holy ground  so i sing for you though you cant hear me when i get through and feel you near me  driving in my car im driving home for christmas driving home for christmas with a thousand memories  i take look at the driver next to me hes just the same just the same  top to toe in tailbacks oh i got red lights all around im driving home for christmas yeah get my feet on holy ground  so i sing for you though you cant hear me when i get through oh and feel you near me  driving in my car driving home for christmas driving home for christmas with a thousand memories  i take look at the driver next to me hes just the same hes driving home driving home driving home for christmas  driving home for christmas  ,0.0,0.934,0.066,0.8873
3zJw3rugfpVrmBeDDnUYzy,John Lennon,Happy Xmas (War Is Over) - Remastered ,2972715,  intro happy christmas kyoko happy christmas julian  prechorus so this is christmas and what have you done another year over and a new one just begun and so this is christmas i hope you had fun the near and the dear ones the old and the young  chorus a very merry christmas and a happy new year lets hope its a good one without any fear  verse 1 and so this is christmas war is over for weak and for strong if you want it for rich and the poor ones war is over the road is so long now and so happy christmas war is over for black and for white if you want it for yellow and red ones war is over lets stop all the fight now  chorus a very merry christmas and a happy new year lets hope its a good one without any fear  prechorus and so this is christmas war is over and what have we done if you want it another year over war is over and a new one just begun now and so happy christmas war is over we hope you had fun if you want it the near and the dear ones war is over the old and the young now  chorus a very merry christmas and a happy new year lets hope its a good one without any fear  outro war is over if you want it war is over now happy christmas happy christmas christmas happy christmas christmas  ,0.059,0.623,0.319,0.9975
6tjituizSxwSmBB5vtgHZE,Michael Bublé,Holly Jolly Christmas ,2865825,  have a holly jolly christmas its the best time of the year i dont know if therell be snow but have a cup of cheer have a holly jolly christmas and when you walk down the street say hello to friends you know and everyone you meet  oh ho the mistletoe is hung where you can see somebody waits for you kiss her once for me have a holly jolly christmas and in case you didnt hear oh by golly have a holly jolly christmas this year  instrumental  oh ho the mistletoe is hung where you can see somebody waits for you kiss her once for me have a holly jolly christmas and in case you didnt hear oh by golly have a holly jolly christmas this year  ,0.0,0.752,0.248,0.9882
3nAp4IvdMPPWEH9uuXFFV5,Kelly Clarkson,Underneath the Tree ,2842392,  chorus youre here where you should be snow is falling as the carolers sing it just wasnt the same alone on christmas day presents what a beautiful sight dont mean a thing if you aint holding me tight youre all that i need underneath the tree  verse 1 tonight im gonna hold you close make sure that you know i was lost before you christmas was cold and grey another holiday alone to celebrate  prechorus but then one day everything changed youre all i need underneath the tree  chorus youre here where you should be snow is falling as the carolers sing it just wasnt the same alone on christmas day presents what a beautiful sight dont mean a thing if you aint holding me tight youre all that i need underneath the tree  verse 2 i found what i was looking for a love thats meant for me a heart thats mine completely knocked me right off my feet and this year i will fall with no worries at all  prechorus cause you are near and everythings clear youre all i need underneath the tree  chorus youre here where you should be snow is falling as the carolers sing it just wasnt the same alone on christmas day presents what a beautiful sight dont mean a thing if you aint holding me tight youre all that i need underneath the tree  saxophone solo  bridge and then one day everything changed youre all i need underneath the tree yeah  chorus youre here where you should be snow is falling as the carolers sing oh yeah yeah it just wasnt the same oh yeah yeah yeah alone on christmas day presents what a beautiful sight oh youre all i need dont mean a thing if you aint holding me tight underneath the tree youre all that i need underneath the tree yeah underneath the tree tonight oh youre all i need underneath underneath the tree  ,0.04,0.812,0.147,0.9873
7Lbxvt42JsNSKVCaN63qhD,Paul McCartney,Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version ,2744755,  the mood is right the spirits up were here tonight and thats enough  simply having a wonderful christmastime simply having a wonderful christmastime  the partys on the feelings here that only comes this time of year  simply having a wonderful christmastime simply having a wonderful christmastime  the choir of children sing their song ding dong ding dong ding dong ding ooh ooh doodoo doodoo doo doodoo  were simply having a wonderful christmastime simply having a wonderful christmastime  the word is out about the town to lift a glass ahh and dont look down  simply having a wonderful christmastime  the choir of children sing their song they practiced all year long ding dong ding dong ding dong ding dong ding dong ding dong  the partys on the spirits up were here tonight and thats enough  simply having a wonderful christmastime were simply having a wonderful christmastime  the mood is right the spirits up were here tonight ohh and thats enough  were simply having a wonderful christmastime simply having a wonderful christmastime simply having a wonderful christmastime simply having a wonderful christmastime  ohhohhohhohh ohhohhohh christmastime  ,0.0,0.764,0.236,0.994
696DnlkuDOXcMAnKlTgXXK,Arizona Zervas,ROXANNE ,2632135,  intro all for the gram bitches love the gram oh wait shit brr brr ayy yeah yeah yeah ayy brr brr brr ayy skrrt skrrt ninety four dont need no brakes yeah  chorus roxanne roxanne all she wanna do is party all night god damn roxanne never gonna love me but its alright she think im an asshole she think im a player she keep running back though only cause i pay up roxanne roxanne all she wanna do is party all night  verse 1 met her at a party in the hills yeah she just wanna do it for the thrill yeah shorty drive a poodle with no top top top but if i throw this money she gon drop ayy she dont wait in lines if its too long she dont drive the whip unless the roof off only wanna call when the cash out only take the pic when her ass out  prechorus she from malibu uh malibu if you aint got a foreign then she laugh at you uh malibu uh malibu spending daddys money with a attitude  chorus roxanne roxanne roxanne roxanne all she wanna do is party all night god damn god damn roxanne roxanne never gonna love me but its alright she think im an asshole she think im a player she keep running back though only cause i pay up roxanne roxanne roxanne roxanne all she wanna do is party all night  interlude i just wanna have fun  verse 2 in la yeah got no brakes yeah living fast ricky bobby shake and bake yeah see the chain yeah issa lake yeah swipe the chase ooh now she wanna date yeah straight to nobu on the coast ooh shorty only like cocaine and whole foods yeah snappin all up on the gram ass going crazy woo now she wanna fuck me in the foreign goin 80  prechorus up in malibu uh malibu if you aint got a foreign then she laugh at you uh malibu uh malibu spending daddys money with a attitude  chorus roxanne roxanne roxanne roxanne all she wanna do is party all night all night yeah god damn god damn roxanne roxanne never gonna love me but its alright alright yeah she think im an asshole she think im a player she keep running back though only cause i pay up roxanne roxanne roxanne roxanne all she wanna do is party all night  ,0.082,0.68,0.238,0.9971
4kKdvXD0ez7jp1296JmAts,Frank Sinatra,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet) ,2608898,  chorus frank sinatra oh the weather outside is frightful but the fire is so delightful and since weve no place to go let it snow let it snow let it snow it doesnt show signs of stopping and i brought some corn for popping the lights are turned down low let it snow let it snow let it snow  verse 1 when we finally kiss goodnight how ill hate to go out in the storm but if you really hold me tight all the way home ill be warm  verse 2 the fire is slowly dying and my dear were still goodbying but as long as you love me so let it snow let it snow let it snow  bridge swanson quartet  frank sinatra he doesnt care if its in below hes sitting by the fires gloosy glow he dont care about the cold and the winds that blow he just says let it snow let it snow let it snow let it snow ooooohwee goes the storm why should he worry when hes nice and warm his gal by his side and the lights turned low he just says let it snow let it snow i dont care  chorus frank sinatra  swanson quartet the weather outside is frightful but that fire is ummm delightful since weve no place to go let it snow let it snow let it snow it doesnt show signs of stopping and ive brought lots of corn for popping the lights are way down low so let it snow let it snow let it snow let it snow  verse 1 frank sinatra when weve finally say goodnight how ill hate going out in a storm but if youll only hold me tight all the way home ill be warm  verse 2 all the fire is slowly dying and my dear were still goodbying long as you love me so let it snow let it snow let it snow  ,0.126,0.785,0.089,-0.867
